File,Date,Time,Image quality,Location,DateStart,Classifier,CommentsImages,EventStart,EventEnd,Duration,Species,DirectionTravel,Total,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder 
M0033901.JPG,10-Aug-09,3:42 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034001.JPG,10-Aug-09,3:42 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034101.JPG,10-Aug-09,3:42 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034201.JPG,10-Aug-09,3:43 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034301.JPG,10-Aug-09,3:43 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034401.JPG,10-Aug-09,3:47 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034501.JPG,10-Aug-09,3:47 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034601.JPG,10-Aug-09,3:47 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034701.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034801.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0034901.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035001.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035101.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035201.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035301.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035401.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035501.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035601.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035701.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035801.JPG,10-Aug-09,3:48 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0035901.JPG,10-Aug-09,3:49 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0036001.JPG,10-Aug-09,3:49 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0036101.JPG,10-Aug-09,3:50 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
M0036201.JPG,10-Aug-09,3:50 PM,Ok,SW-S12,2009-07-23,,poor camera placement,,,,,,,,,,,,,S12
