CAMERA_DIS,CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
W20 6250,W20,6250,1228090,122809000,0,31.40023804,31.40023804,2.107831814,1.621234639
W21 6250,W21,6250,1005191,100519100,0,19.76654053,19.76654053,2.133651513,1.345584548
W22 6250,W22,6250,1228085,122808500,0,79.33703613,79.33703613,3.134454339,2.338040148
W23 6250,W23,6250,1228090,122809000,0,15.40872192,15.40872192,2.048432201,1.643615368
W24 6250,W24,6250,1220123,122012300,0,43.17373657,43.17373657,2.733055622,2.079880388
W25 6250,W25,6250,1228055,122805500,0,28.83403015,28.83403015,2.326072736,1.983470761
W26 6250,W26,6250,1227984,122798400,0,44.82791138,44.82791138,3.274451145,2.272325139
W27 6250,W27,6250,1228016,122801600,0,28.83403015,28.83403015,2.445937154,2.041114706
W28 6250,W28,6250,1228033,122803300,0,28.83403015,28.83403015,2.824298524,2.342075234
W29 6250,W29,6250,1228006,122800600,0,28.83403015,28.83403015,3.036984093,2.269027431
W30 6250,W30,6250,1227958,122795800,0,28.83403015,28.83403015,2.188683081,1.83420775
W31 6250,W31,6250,1227740,122774000,0,14.33473206,14.33473206,1.795634682,1.387113915
W32 6250,W32,6250,1227879,122787900,0,26.64503479,26.64503479,2.742354457,1.773636457
W33 6250,W33,6250,1227940,122794000,0,28.35929871,28.35929871,2.841071955,2.076199816
W34 6250,W34,6250,1227864,122786400,0,28.33596802,28.33596802,3.192405135,1.913987208
W35 6250,W35,6250,1227823,122782300,7.62939E-05,21.35488892,21.35481262,3.329484917,1.665533775
W36 6250,W36,6250,1227764,122776400,0,21.35488892,21.35488892,3.243334018,1.853580209
W37 6250,W37,6250,1227733,122773300,0,16.38745117,16.38745117,2.84232033,1.848771327
W38 6250,W38,6250,1227641,122764100,0,9.987548828,9.987548828,1.532991559,1.254943436
W39 6250,W39,6250,1227588,122758800,0,9.987548828,9.987548828,2.551691654,1.565943242
W40 6250,W40,6250,1227667,122766700,0,28.98052979,28.98052979,3.076709828,1.816548142
W41 6250,W41,6250,1227613,122761300,0,57.87301636,57.87301636,2.964193396,1.758559688
W42 6250,W42,6250,1227631,122763100,0,10.24813843,10.24813843,2.68755026,1.563084561
W43 6250,W43,6250,1227507,122750700,0,12.37916565,12.37916565,1.90363418,1.37100938
W44 6250,W44,6250,1227528,122752800,0.002914429,19.45062256,19.44770813,3.123164546,1.624800877
W45 6250,W45,6250,1227568,122756800,0,39.50592041,39.50592041,3.46924163,1.645959846
W46 6250,W46,6250,1227475,122747500,0.000808716,39.50592041,39.50511169,3.354384047,1.865251793
W47 6250,W47,6250,1227402,122740200,0.000518799,55.77877808,55.77825928,3.271008869,1.783266935
W48 6250,W48,6250,1227342,122734200,0.016189575,17.83396912,17.81777954,2.47641324,1.425854028
W49 6250,W49,6250,1227406,122740600,0.019104004,30.4848938,30.46578979,3.671843604,1.645196296
W50 6250,W50,6250,1227422,122742200,0.008026123,30.4848938,30.47686768,3.265227972,1.601084905
W51 6250,W51,6250,1227477,122747700,0,41.66342163,41.66342163,3.227492964,1.758611144
W52 6250,W52,6250,1227537,122753700,0,41.66342163,41.66342163,3.29364986,1.978274739
W53 6250,W53,6250,1227543,122754300,0,41.46655273,41.46655273,3.030283911,1.640962822
W54 6250,W54,6250,1227584,122758400,0,58.89157104,58.89157104,3.032736406,1.93609365
W55 6250,W55,6250,1227827,122782700,1.52588E-05,29.82427979,29.82426453,3.085491493,1.968447502
W56 6250,W56,6250,1227742,122774200,0,42.83309937,42.83309937,3.347553761,1.934524405
W57 6250,W57,6250,1227738,122773800,0,26.88870239,26.88870239,3.534045553,2.18274179
W58 6250,W58,6250,1227704,122770400,0,38.92672729,38.92672729,3.198914324,2.153143971
W59 6250,W59,6250,1227766,122776600,0,42.83309937,42.83309937,3.808547921,2.115078964
W60 6250,W60,6250,1227871,122787100,0,29.93591309,29.93591309,2.458853708,1.935852881
W61 6250,W61,6250,1227933,122793300,0,34.20999146,34.20999146,2.604093031,2.042595595
W62 6250,W62,6250,1227950,122795000,0,46.90548706,46.90548706,3.80222816,2.560970406
W63 6250,W63,6250,1227943,122794300,0,46.90548706,46.90548706,4.073177094,2.509644934
W64 6250,W64,6250,1227896,122789600,0,38.44963074,38.44963074,3.074063283,2.696259436
W65 6250,W65,6250,1227862,122786200,0,38.44963074,38.44963074,3.629279969,2.239681853
W66 6250,W66,6250,1227819,122781900,0,45.78289795,45.78289795,3.565245897,2.256848456
WB_ E1 6250,WB_ E1,6250,1228046,122804600,0,39.42156982,39.42156982,3.964357436,2.494133167
WB_ E10 6250,WB_ E10,6250,1227817,122781700,0,42.83309937,42.83309937,3.875334092,2.153366996
WB_ E2 6250,WB_ E2,6250,1227937,122793700,0,46.90548706,46.90548706,2.751831817,2.392481776
WB_ E3 6250,WB_ E3,6250,1227473,122747300,0,12.14881897,12.14881897,1.804435079,1.122613477
WB_ E4 6250,WB_ E4,6250,1227988,122798800,0.000183105,15.19360352,15.19342041,2.359641615,1.554699929
WB_ E5 6250,WB_ E5,6250,1228087,122808700,0,39.42156982,39.42156982,3.346124308,2.501567407
WB_ E6 6250,WB_ E6,6250,1227512,122751200,0,12.37916565,12.37916565,1.801501602,1.361990961
WB_ E7 6250,WB_ E7,6250,1228034,122803400,0,44.82791138,44.82791138,2.686532603,2.191136632
WB_ E8 6250,WB_ E8,6250,1227708,122770800,0,57.87301636,57.87301636,3.523306673,2.126478073
WB_ E9 6250,WB_ E9,6250,1227647,122764700,0,58.89157104,58.89157104,3.237937305,2.380003031
WB_ H1 6250,WB_ H1,6250,1227444,122744400,0.000518799,49.29589844,49.29537964,2.958755683,1.78616792
WB_ H10 6250,WB_ H10,6250,1227496,122749600,0.010452271,49.29589844,49.28544617,3.793895343,1.849467084
WB_ H2 6250,WB_ H2,6250,1228001,122800100,0.001861572,20.12802124,20.12615967,2.95939355,1.762050078
WB_ H3 6250,WB_ H3,6250,1227884,122788400,0,34.20999146,34.20999146,3.534899776,2.101890539
WB_ H4 6250,WB_ H4,6250,1227559,122755900,0,41.46655273,41.46655273,3.103512179,1.824485869
WB_ H5 6250,WB_ H5,6250,1227662,122766200,0,57.87301636,57.87301636,3.389891064,1.978420613
WB_ H6 6250,WB_ H6,6250,657362,65736200,0,33.93460083,33.93460083,2.067549993,1.594301225
WB_ H7 6250,WB_ H7,6250,531420,53142000,6.10352E-05,18.52572632,18.52566528,2.343137007,1.636803514
WB_ H8 6250,WB_ H8,6250,1227642,122764200,0,58.89157104,58.89157104,2.838777894,2.013694857
WB_ H9 6250,WB_ H9,6250,1228049,122804900,0,27.0496521,27.0496521,3.698753078,2.048210564
WB_ S1 6250,WB_ S1,6250,644229,64422900,0,19.40896606,19.40896606,3.17279695,1.888576947
WB_ S10 6250,WB_ S10,6250,1227978,122797800,0,46.90548706,46.90548706,4.071981472,2.426185809
WB_ S11 6250,WB_ S11,6250,1227873,122787300,0,38.44963074,38.44963074,3.024616679,2.195713415
WB_ S12 6250,WB_ S12,6250,1227783,122778300,0,42.83309937,42.83309937,3.787111913,2.110485848
WB_ S13 6250,WB_ S13,6250,1227692,122769200,7.62939E-05,57.87301636,57.87294006,3.30834665,2.088196625
WB_ S14 6250,WB_ S14,6250,1227567,122756700,0,16.25015259,16.25015259,3.061372155,1.524313306
WB_ S15 6250,WB_ S15,6250,1227471,122747100,0.000808716,39.50592041,39.50511169,3.27773328,1.851287477
WB_ S16 6250,WB_ S16,6250,1228056,122805600,0,43.17373657,43.17373657,3.011598074,2.361983742
WB_ S17 6250,WB_ S17,6250,1227948,122794800,0,33.27481079,33.27481079,2.210465707,1.878165363
WB_ S18 6250,WB_ S18,6250,1227855,122785500,0,34.20999146,34.20999146,3.087470492,2.154811434
WB_ S19 6250,WB_ S19,6250,1227785,122778500,0,21.35488892,21.35488892,3.362647451,1.89464874
WB_ S2 6250,WB_ S2,6250,1131227,113122700,0,44.06253052,44.06253052,3.591150337,2.962427063
WB_ S20 6250,WB_ S20,6250,1227704,122770400,0,13.24990845,13.24990845,2.074994114,1.544997138
WB_ S21 6250,WB_ S21,6250,1227574,122757400,0.002212524,12.37916565,12.37695313,2.679314756,1.56822138
WB_ S22 6250,WB_ S22,6250,1227501,122750100,0,12.37916565,12.37916565,1.775319654,1.262703626
WB_ S23 6250,WB_ S23,6250,1075222,107522200,0,80.3848877,80.3848877,2.407883992,1.689115442
WB_ S24 6250,WB_ S24,6250,1228071,122807100,0,27.0496521,27.0496521,3.313446865,2.098609937
WB_ S25 6250,WB_ S25,6250,1228003,122800300,0,18.16313171,18.16313171,2.874097328,1.911524819
WB_ S26 6250,WB_ S26,6250,1227884,122788400,0,14.90058899,14.90058899,2.798682628,1.833839537
WB_ S27 6250,WB_ S27,6250,1227782,122778200,0,14.48652649,14.48652649,2.226625549,1.680190041
WB_ S28 6250,WB_ S28,6250,1228172,122817200,0,22.44308472,22.44308472,1.733007965,1.503882835
WB_ S29 6250,WB_ S29,6250,1228100,122810000,0,26.20523071,26.20523071,2.164246197,1.678174519
WB_ S3 6250,WB_ S3,6250,1227847,122784700,0,28.48562622,28.48562622,2.716540908,2.15040119
WB_ S4 6250,WB_ S4,6250,1227779,122777900,0,114.6127777,114.6127777,3.067098037,2.293534692
WB_ S5 6250,WB_ S5,6250,1227682,122768200,0,58.89157104,58.89157104,3.093287394,2.238966447
WB_ S6 6250,WB_ S6,6250,1227600,122760000,0,41.46655273,41.46655273,2.989896404,1.974828956
