"site","radius","bpsdl","cultivation","disturbedvegetation","harvestareas","industrial_sites","landfill","mine_sites","othervegsurfacesrecreation","pipelines","railways","reservoirs","residential_areas","roads","seismiclines","transmissionlines","verge","wellsites","wind_gen_facilities","dense_conifer","moderate_conifer","open_conifer","mixed","broadleaf","treed_wetland","shrub","herb","open_wetland","barren","water","shadow_or_no_data","snow_or_ice","regeneration","cloud_or_no_data","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"SW-S25",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.269322465,63.83877527,3.355715634,0.101859164,0,23.4341875,0,0,0,0,0,0,0,0,0,7871.727273,7686.575758,0.90362403
"SW-S25",4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077100954903189,0,0,0,0,23.02890118,55.61456187,2.847713997,2.425036981,0.440731149,5.804898871,2.107984336,2.965843769,0.686150957,4.058460303,0.019695424,0,0,0,0,7584.88877,7531.495187,2.354638297
"SW-S25",2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120038305248762,0,0,0,0,18.73556824,68.53301316,3.050551573,0.701783492,0.084830889,7.284403376,0.913163365,0.401406332,0.245478639,0.008097424,0.041669658,0,0,0,0,7830.541387,7624.268456,1.76936406
"SW-S3",2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147146625,41.23009623,6.231185621,0.450791982,0.056588424,30.57398522,0.763943727,6.560211459,0.322554018,11.36477144,0.298689666,0,0,0,0,6340.456081,6100.429054,2.898052865
"SW-S3",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370264313,35.79428485,13.68148802,0,0,49.15355178,0,0,0,0,0,0,0,0,0,6878.666667,6819,1.342881567
"SW-S3",2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.908725972,38.80285041,5.971931817,0.739082041,0.117722812,27.19574494,1.618640937,5.587963042,0.31297967,16.24807794,0.496247743,0,0,0,0,6191.525,5993.386364,2.943101433
"SW-S3",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.190217281,51.57365621,5.308185459,0.02864789,0,35.89833859,0,5.51668539,0,0,0.48416902,0,0,0,0,6810.935484,6530.193548,2.441225077
"SW-S3",1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906595537,48.4113273,6.455309308,0.097539486,0,36.4876971,0.000720207,5.55633374,0,1.487848826,0.596550271,0,0,0,0,6740.784946,6367.860215,2.645883398
"SW-S3",2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505649282,40.35991105,6.125670331,0.638447443,0.059587611,28.61705105,0.872202815,6.312106924,0.284788907,13.78323014,0.441318113,0,0,0,0,6248.325967,6061.323204,2.918071897
"SW-S3",1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.628959646,44.98224807,5.830297016,0.37215025,0.033475352,32.23230774,1.196676981,6.163891019,0.294497757,6.82578129,0.43965741,0,0,0,0,6594.138889,6221.316667,2.779862579
"SW-S3",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068821252,43.19103217,5.813472784,0.420231599,0.05729578,30.90661391,0.966866279,6.542001274,0.408232429,9.288776886,0.336612705,0,0,0,0,6466.179487,6172.102564,2.837033401
"SW-S3",5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.355436995,32.90965426,4.347633783,0.643794937,0.076776345,21.25202641,1.56040512,4.87289406,2.599152998,25.09503423,1.909918214,0.283289846,0.093965078,0,0,5780.534106,5549.332196,2.734291628
